id,name,mark,feetype
200246,情侣朋友聊天专用,拼接式表情，任意拼接，让你的聊天与众不同,1
200247,屌丝哥情人篇,最懂你的屌丝哥，带你玩转情人节,1
200248,爱心哥情人篇,最懂你的爱心哥，教你如何逼格满满的渡过情人节,1
200249,抱抱情侣篇,抱抱亲亲举...举...举不动,1
200250,萌萌鸭第一弹,我是一只萌萌鸭，嘎嘎嘎嘎嘎！,5
200251,咪洛的日常,调皮可爱，古灵精怪的猫星人咪洛，来和你一起卖萌了。,1
200252,小宝贝儿四,身正不怕嘴巴污，聊到假天也不怕。,1
200253,画了只鸭三,更加精致的鸭，希望你们开心。,1
200254,大淘和小桃,小桃嫌大淘太皮，大淘总嫌小桃比他还皮。。。,1
200255,农小林过冬篇,尽管天气是随机播放的，但还是要穿上秋裤来过冬。这个冬天，有农小林陪你！,1
200256,安吉拉,安吉拉来啦，我就是那个萌萌的小姑娘！,1
200257,脸红小馒头第四弹,你的脸红小馒头第四弹来咯,1
200259,猪满,嘴巴嘟一下，你就会来呀。,1
200260,单个动态立体字,单个动态立体字聊天，可以自由组合，变化无穷。,1
200261,匿名小绿马,“匿名君”（Anon）发源于char,1
200262,一个亿的日常,"猫咪一个亿的日常表情包，亿亿是个男孩子，希望大家喜欢。
是一个亿呀。",1
200263,无小形,来自西普洛特星球的一只喵星人，对世界充满好奇，喜欢角色扮演，爱吃小鱼干，有点小脾气，总是用快乐的笑容,1
200264,大淘与丫梨,丫梨嫌大淘太顽皮，大淘嫌丫梨比他还皮。。。,1
200266,熊卷来了,跟着熊卷一起嗨嗨嗨嗨嗨嗨嗨嗨嗨嗨嗨起来好吗,1
200267,动态立体字聊天,动态彩色立体字聊天，给你不同聊效！,1
200268,百变大脸脸,百变大脸脸，好玩，倍儿逗。,1
200269,魔鬼猫表情第五弹,魔鬼猫是来自未来的ZC喵星人，因外形酷似地球的猫所以被称为“魔鬼猫”。靠吞噬负能量为生。,1
200270,小小明,今天不要去幼儿园，谁也别想阻止我在家打滚儿次好好,1
200271,猪咪白第一弹,"白公公的怼人专用表情包第二弹
嫌弃脸，络腮胡，萌萌哒... ...
你想要的表情我都有",5
200272,方块人新篇,全新的方块人表情来啦！大家快和小伙伴们斗图起来,1
200273,恋人动态聊天字,情人节恋人动态聊天字，不同聊效！,1
200274,懒懒小黄毛,懒懒的我唯有梦想能让我起床，除了酷，其实我也挺萌的，我的家族很强大哦，希望大家能喜欢我。,1
200275,福宁虎福安方言版,一起来学习福安方言哦,1
200276,福宁虎群撩篇,撩撩撩撩撩撩撩撩起来！,1
200277,福宁虎宁德方言二,继续和福宁一起学习八级“德语”吧HOO,1
200278,福宁虎日常篇,福宁虎日常表情来啦！,1
200279,说话小手,说话小手会说话，传情达意你需要,1
200280,小折耳猫会话二,小折耳猫会话系列（日常版），小哥哥小姐姐，带我回家呗！,1
200281,小猪麦吉,小猪麦吉来自麦麦星球，麦吉想做资深美食博主吃遍宇宙美食。,1
200282,污大娘第三集,我是一名慈（sang）祥（xin）和（bing）蔼（kuang）的老奶奶！,1
